Country Name,Country Code,Series Name,Series Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.6862687216715,6.78459655001657,8.68057078513406,26.4186641547444,-6.81116108898995,2.1785375238942,11.8041858089129,6.44121280934118,7.38577178397857,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,0.626149149168811,2.30237251516844,..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.6552382203401,11.2714320716706,10.9127735387643,7.19975129286277,22.5277562093884,2.09628874762078,-2.16340443766715,3.81463032579357,16.593346721495,7.30175647720739,4.82278547610319,0.56694453983522,2.44756300761826,-2.19752646755639,2.403656184075,2.07134858278808,6.52147984504097,..
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53792,9655582953.98018,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.441,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20741239893.4132,20987900552.5239,21808863988.0303,..
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,330.303552908057,343.080889714587,333.216684486798,357.234719908026,365.284494951006,405.548979051796,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699,587.565090150175,583.656192833123,574.184114271259,571.07377452356,571.440690906349,564.609991742901,573.287551042738,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.9033,18869945677.9599,18353881129.881,19291104007.8299,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,159.567578521888,135.31730831433,143.144649500081,173.653764639169,186.510897140201,197.445507551145,224.224797281134,247.354106347038,275.738197619262,272.655285650232,264.111317453061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.426610967229,190.683814295088,211.382116942655,242.031284871985,263.733691663044,359.693237501395,364.6607447985,438.076034406941,543.303041863931,591.162759035926,641.871479157538,637.165523187024,613.856689167623,578.466352941708,509.218661332126,519.884773089339,493.750418116312,507.103431871987,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.83227780370235,1.41411798021913,11.2297148388594,5.35740324754596,13.8263195390595,3.92498382284528,21.390528405312,14.3624414596815,0.426354792856571,12.7522870825789,5.60074466131869,2.72454336495092,1.45131465457983,2.26031420454613,2.64700320230295,1.18922812897529,3.91160341860697,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.86836190347822,-2.87518352770837,7.20793301758562,2.25335741303412,11.0227739357486,1.59421129024312,18.5153687132188,11.264133238155,-2.6810808487635,8.97487956759655,1.97416862890145,-0.665270517697508,-1.62288667166976,-0.541697283221794,0.0642502596261778,-1.19534700138595,1.536912103353,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,38041754,..
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.0699996948242,49.189998626709,49.310001373291,49.3899993896484,49.4099998474121,49.3800010681152,49.310001373291,49.2200012207031,49.1300010681152,49.0699996948242,49.0499992370605,49.1699981689453,49.3300018310547,49.5099983215332,49.6699981689453,49.7999992370605,49.6599998474121,49.4900016784668,49.3199996948242,49.1599998474121,49.0299987792969,49.1300010681152,49.2700004577637,49.4599990844727,49.6500015258789,49.8600006103516,50.0299987792969,50.2099990844727,50.3499984741211,50.4900016784668,..
